window,feature,mean,std,median
4,Fwd Packet Length Max,176.4302,546.7406,41.0
4,Fwd Packet Length Min,23.8168,39.8171,23.0
4,Fwd Packet Length Mean,52.3329,125.5985,38.0
4,Fwd Packet Length Std,50.9964,167.2308,0.0
4,Bwd Packet Length Max,376.1195,765.6112,96.0
4,Bwd Packet Length Min,59.1993,77.8817,41.0
4,Bwd Packet Length Mean,157.3797,263.2432,86.559
4,Bwd Packet Length Std,112.5576,261.8355,0.0
4,Flow Bytes/s,1890155.6767,29343251.0274,5664.598
4,Flow Packets/s,52429.7248,215783.9774,114.5098
4,Flow IAT Mean,757407.2046,3441667.3365,11765.6548
4,Flow IAT Std,1385870.1412,5528725.1607,104.7903
