event_id,event_type,detector,stream_position,timestamp,model_version,window_size,metric_context,detector_state
16,drift,ADWIN,5695,2026-09-08T09:15:40,baseline_v1,64.0,"{""rolling_error_500"": 0.928, ""cumulative_error"": 0.8411}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 5696, ""n_drifts"": 16, ""window_size"": 64.0, ""estimation"": 0.46875}"
17,drift,ADWIN,5823,2026-09-08T09:15:40,baseline_v1,80.0,"{""rolling_error_500"": 0.716, ""cumulative_error"": 0.8264}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 5824, ""n_drifts"": 17, ""window_size"": 80.0, ""estimation"": 0.275}"
18,drift,ADWIN,7231,2026-09-08T09:15:41,baseline_v1,56.0,"{""rolling_error_500"": 0.926, ""cumulative_error"": 0.8529}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 7232, ""n_drifts"": 18, ""window_size"": 56.0, ""estimation"": 0.48214285714285715}"
19,drift,ADWIN,7391,2026-09-08T09:15:41,baseline_v1,128.0,"{""rolling_error_500"": 0.792, ""cumulative_error"": 0.8459}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 7392, ""n_drifts"": 19, ""window_size"": 128.0, ""estimation"": 0.6640625}"
20,drift,ADWIN,7999,2026-09-08T09:15:41,baseline_v1,64.0,"{""rolling_error_500"": 0.934, ""cumulative_error"": 0.8535}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 8000, ""n_drifts"": 20, ""window_size"": 64.0, ""estimation"": 0.609375}"
21,drift,ADWIN,8351,2026-09-08T09:15:41,baseline_v1,64.0,"{""rolling_error_500"": 0.88, ""cumulative_error"": 0.8557}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 8352, ""n_drifts"": 21, ""window_size"": 64.0, ""estimation"": 0.59375}"
22,drift,ADWIN,8447,2026-09-08T09:15:41,baseline_v1,80.0,"{""rolling_error_500"": 0.784, ""cumulative_error"": 0.8514}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 8448, ""n_drifts"": 22, ""window_size"": 80.0, ""estimation"": 0.5625}"
23,drift,ADWIN,8767,2026-09-08T09:15:41,baseline_v1,64.0,"{""rolling_error_500"": 0.792, ""cumulative_error"": 0.8537}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 8768, ""n_drifts"": 23, ""window_size"": 64.0, ""estimation"": 0.59375}"
24,drift,ADWIN,9343,2026-09-08T09:15:42,baseline_v1,96.0,"{""rolling_error_500"": 0.032, ""cumulative_error"": 0.8028}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 9344, ""n_drifts"": 24, ""window_size"": 96.0, ""estimation"": 0.16666666666666666}"
25,drift,ADWIN,9663,2026-09-08T09:15:42,baseline_v1,160.0,"{""rolling_error_500"": 0.612, ""cumulative_error"": 0.8062}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 9664, ""n_drifts"": 25, ""window_size"": 160.0, ""estimation"": 0.84375}"
26,drift,ADWIN,9759,2026-09-08T09:15:42,baseline_v1,80.0,"{""rolling_error_500"": 0.664, ""cumulative_error"": 0.8009}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 9760, ""n_drifts"": 26, ""window_size"": 80.0, ""estimation"": 0.125}"
27,drift,ADWIN,9951,2026-09-08T09:15:42,baseline_v1,64.0,"{""rolling_error_500"": 0.714, ""cumulative_error"": 0.7999}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 9952, ""n_drifts"": 27, ""window_size"": 64.0, ""estimation"": 0.3125}"
28,drift,ADWIN,11103,2026-09-08T09:15:42,baseline_v1,64.0,"{""rolling_error_500"": 0.05, ""cumulative_error"": 0.7192}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 11104, ""n_drifts"": 28, ""window_size"": 64.0, ""estimation"": 0.390625}"
29,drift,ADWIN,11679,2026-09-08T09:15:42,baseline_v1,96.0,"{""rolling_error_500"": 0.932, ""cumulative_error"": 0.7299}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 11680, ""n_drifts"": 29, ""window_size"": 96.0, ""estimation"": 0.8125}"
30,drift,ADWIN,11967,2026-09-08T09:15:42,baseline_v1,128.0,"{""rolling_error_500"": 0.406, ""cumulative_error"": 0.7135}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 11968, ""n_drifts"": 30, ""window_size"": 128.0, ""estimation"": 0.109375}"
31,drift,ADWIN,12127,2026-09-08T09:15:42,baseline_v1,64.0,"{""rolling_error_500"": 0.322, ""cumulative_error"": 0.7133}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 12128, ""n_drifts"": 31, ""window_size"": 64.0, ""estimation"": 0.5}"
32,drift,ADWIN,12287,2026-09-08T09:15:42,baseline_v1,64.0,"{""rolling_error_500"": 0.348, ""cumulative_error"": 0.7079}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 12288, ""n_drifts"": 32, ""window_size"": 64.0, ""estimation"": 0.6875}"
33,drift,ADWIN,12447,2026-09-08T09:15:42,baseline_v1,96.0,"{""rolling_error_500"": 0.594, ""cumulative_error"": 0.7087}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 12448, ""n_drifts"": 33, ""window_size"": 96.0, ""estimation"": 0.625}"
34,drift,ADWIN,13151,2026-09-08T09:15:43,baseline_v1,64.0,"{""rolling_error_500"": 0.906, ""cumulative_error"": 0.7195}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 13152, ""n_drifts"": 34, ""window_size"": 64.0, ""estimation"": 0.5}"
35,drift,ADWIN,13343,2026-09-08T09:15:43,baseline_v1,128.0,"{""rolling_error_500"": 0.586, ""cumulative_error"": 0.711}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 13344, ""n_drifts"": 35, ""window_size"": 128.0, ""estimation"": 0.1875}"
36,drift,ADWIN,23679,2026-09-08T09:15:46,baseline_v1,64.0,"{""rolling_error_500"": 0.076, ""cumulative_error"": 0.4024}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 23680, ""n_drifts"": 36, ""window_size"": 64.0, ""estimation"": 0.578125}"
37,drift,ADWIN,23967,2026-09-08T09:15:46,baseline_v1,80.0,"{""rolling_error_500"": 0.562, ""cumulative_error"": 0.4078}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 23968, ""n_drifts"": 37, ""window_size"": 80.0, ""estimation"": 0.55}"
38,drift,ADWIN,25023,2026-09-08T09:15:46,baseline_v1,56.0,"{""rolling_error_500"": 0.91, ""cumulative_error"": 0.4303}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 25024, ""n_drifts"": 38, ""window_size"": 56.0, ""estimation"": 0.2857142857142857}"
39,drift,ADWIN,25247,2026-09-08T09:15:46,baseline_v1,64.0,"{""rolling_error_500"": 0.534, ""cumulative_error"": 0.4278}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 25248, ""n_drifts"": 39, ""window_size"": 64.0, ""estimation"": 0.5}"
40,drift,ADWIN,25343,2026-09-08T09:15:46,baseline_v1,56.0,"{""rolling_error_500"": 0.476, ""cumulative_error"": 0.4288}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 25344, ""n_drifts"": 40, ""window_size"": 56.0, ""estimation"": 0.5178571428571429}"
41,drift,ADWIN,25471,2026-09-08T09:15:46,baseline_v1,64.0,"{""rolling_error_500"": 0.31, ""cumulative_error"": 0.4284}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 25472, ""n_drifts"": 41, ""window_size"": 64.0, ""estimation"": 0.671875}"
42,drift,ADWIN,26047,2026-09-08T09:15:46,baseline_v1,160.0,"{""rolling_error_500"": 0.966, ""cumulative_error"": 0.4402}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 26048, ""n_drifts"": 42, ""window_size"": 160.0, ""estimation"": 0.9}"
43,drift,ADWIN,26367,2026-09-08T09:15:46,baseline_v1,64.0,"{""rolling_error_500"": 0.876, ""cumulative_error"": 0.4452}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 26368, ""n_drifts"": 43, ""window_size"": 64.0, ""estimation"": 0.359375}"
44,drift,ADWIN,26591,2026-09-08T09:15:46,baseline_v1,64.0,"{""rolling_error_500"": 0.542, ""cumulative_error"": 0.443}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 26592, ""n_drifts"": 44, ""window_size"": 64.0, ""estimation"": 0.640625}"
45,drift,ADWIN,26687,2026-09-08T09:15:46,baseline_v1,64.0,"{""rolling_error_500"": 0.488, ""cumulative_error"": 0.444}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 26688, ""n_drifts"": 45, ""window_size"": 64.0, ""estimation"": 0.5625}"
46,drift,ADWIN,26943,2026-09-08T09:15:47,baseline_v1,80.0,"{""rolling_error_500"": 0.494, ""cumulative_error"": 0.4449}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 26944, ""n_drifts"": 46, ""window_size"": 80.0, ""estimation"": 0.7625}"
47,drift,ADWIN,27039,2026-09-08T09:15:47,baseline_v1,64.0,"{""rolling_error_500"": 0.596, ""cumulative_error"": 0.4452}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 27040, ""n_drifts"": 47, ""window_size"": 64.0, ""estimation"": 0.3125}"
48,drift,ADWIN,27263,2026-09-08T09:15:47,baseline_v1,64.0,"{""rolling_error_500"": 0.368, ""cumulative_error"": 0.4431}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 27264, ""n_drifts"": 48, ""window_size"": 64.0, ""estimation"": 0.671875}"
49,drift,ADWIN,27711,2026-09-08T09:15:47,baseline_v1,64.0,"{""rolling_error_500"": 0.862, ""cumulative_error"": 0.4499}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 27712, ""n_drifts"": 49, ""window_size"": 64.0, ""estimation"": 0.296875}"
50,drift,ADWIN,27967,2026-09-08T09:15:47,baseline_v1,224.0,"{""rolling_error_500"": 0.47, ""cumulative_error"": 0.4473}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 27968, ""n_drifts"": 50, ""window_size"": 224.0, ""estimation"": 0.18303571428571427}"
51,drift,ADWIN,28255,2026-09-08T09:15:47,baseline_v1,128.0,"{""rolling_error_500"": 0.208, ""cumulative_error"": 0.445}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 28256, ""n_drifts"": 51, ""window_size"": 128.0, ""estimation"": 0.390625}"
52,drift,ADWIN,28383,2026-09-08T09:15:47,baseline_v1,64.0,"{""rolling_error_500"": 0.312, ""cumulative_error"": 0.4455}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 28384, ""n_drifts"": 52, ""window_size"": 64.0, ""estimation"": 0.234375}"
53,drift,ADWIN,28575,2026-09-08T09:15:47,baseline_v1,160.0,"{""rolling_error_500"": 0.282, ""cumulative_error"": 0.443}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 28576, ""n_drifts"": 53, ""window_size"": 160.0, ""estimation"": 0.09375}"
54,drift,ADWIN,29055,2026-09-08T09:15:47,baseline_v1,64.0,"{""rolling_error_500"": 0.834, ""cumulative_error"": 0.4496}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 29056, ""n_drifts"": 54, ""window_size"": 64.0, ""estimation"": 0.265625}"
55,drift,ADWIN,29279,2026-09-08T09:15:47,baseline_v1,64.0,"{""rolling_error_500"": 0.524, ""cumulative_error"": 0.4479}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 29280, ""n_drifts"": 55, ""window_size"": 64.0, ""estimation"": 0.703125}"
56,drift,ADWIN,29375,2026-09-08T09:15:47,baseline_v1,64.0,"{""rolling_error_500"": 0.478, ""cumulative_error"": 0.4487}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 29376, ""n_drifts"": 56, ""window_size"": 64.0, ""estimation"": 0.53125}"
57,drift,ADWIN,29503,2026-09-08T09:15:47,baseline_v1,112.0,"{""rolling_error_500"": 0.404, ""cumulative_error"": 0.4494}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 29504, ""n_drifts"": 57, ""window_size"": 112.0, ""estimation"": 0.7053571428571429}"
58,drift,ADWIN,30143,2026-09-08T09:15:47,baseline_v1,224.0,"{""rolling_error_500"": 0.934, ""cumulative_error"": 0.46}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 30144, ""n_drifts"": 58, ""window_size"": 224.0, ""estimation"": 0.8571428571428571}"
59,drift,ADWIN,31263,2026-09-08T09:15:48,baseline_v1,736.0,"{""rolling_error_500"": 0.942, ""cumulative_error"": 0.4778}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 31264, ""n_drifts"": 59, ""window_size"": 736.0, ""estimation"": 0.9510869565217391}"
60,drift,ADWIN,31487,2026-09-08T09:15:48,baseline_v1,80.0,"{""rolling_error_500"": 0.87, ""cumulative_error"": 0.4801}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 31488, ""n_drifts"": 60, ""window_size"": 80.0, ""estimation"": 0.5125}"
61,drift,ADWIN,31583,2026-09-08T09:15:48,baseline_v1,80.0,"{""rolling_error_500"": 0.8, ""cumulative_error"": 0.4805}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 31584, ""n_drifts"": 61, ""window_size"": 80.0, ""estimation"": 0.7375}"
62,drift,ADWIN,31807,2026-09-08T09:15:48,baseline_v1,80.0,"{""rolling_error_500"": 0.51, ""cumulative_error"": 0.479}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 31808, ""n_drifts"": 62, ""window_size"": 80.0, ""estimation"": 0.5}"
63,drift,ADWIN,32447,2026-09-08T09:15:48,baseline_v1,64.0,"{""rolling_error_500"": 0.9, ""cumulative_error"": 0.4873}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 32448, ""n_drifts"": 63, ""window_size"": 64.0, ""estimation"": 0.4375}"
64,drift,ADWIN,32607,2026-09-08T09:15:48,baseline_v1,64.0,"{""rolling_error_500"": 0.732, ""cumulative_error"": 0.487}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 32608, ""n_drifts"": 64, ""window_size"": 64.0, ""estimation"": 0.609375}"
65,drift,ADWIN,32927,2026-09-08T09:15:48,baseline_v1,56.0,"{""rolling_error_500"": 0.706, ""cumulative_error"": 0.4909}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 32928, ""n_drifts"": 65, ""window_size"": 56.0, ""estimation"": 0.42857142857142855}"
66,drift,ADWIN,33087,2026-09-08T09:15:48,baseline_v1,56.0,"{""rolling_error_500"": 0.706, ""cumulative_error"": 0.49}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 33088, ""n_drifts"": 66, ""window_size"": 56.0, ""estimation"": 0.5892857142857143}"
67,drift,ADWIN,33727,2026-09-08T09:15:49,baseline_v1,384.0,"{""rolling_error_500"": 0.954, ""cumulative_error"": 0.4989}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 33728, ""n_drifts"": 67, ""window_size"": 384.0, ""estimation"": 0.9453125}"
68,drift,ADWIN,33855,2026-09-08T09:15:49,baseline_v1,96.0,"{""rolling_error_500"": 0.886, ""cumulative_error"": 0.4997}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 33856, ""n_drifts"": 68, ""window_size"": 96.0, ""estimation"": 0.7708333333333334}"
69,drift,ADWIN,34207,2026-09-08T09:15:49,baseline_v1,64.0,"{""rolling_error_500"": 0.842, ""cumulative_error"": 0.5039}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 34208, ""n_drifts"": 69, ""window_size"": 64.0, ""estimation"": 0.6875}"
70,drift,ADWIN,34303,2026-09-08T09:15:49,baseline_v1,64.0,"{""rolling_error_500"": 0.814, ""cumulative_error"": 0.5036}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 34304, ""n_drifts"": 70, ""window_size"": 64.0, ""estimation"": 0.5625}"
71,drift,ADWIN,34399,2026-09-08T09:15:49,baseline_v1,64.0,"{""rolling_error_500"": 0.746, ""cumulative_error"": 0.5039}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 34400, ""n_drifts"": 71, ""window_size"": 64.0, ""estimation"": 0.859375}"
72,drift,ADWIN,34783,2026-09-08T09:15:49,baseline_v1,56.0,"{""rolling_error_500"": 0.862, ""cumulative_error"": 0.5084}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 34784, ""n_drifts"": 72, ""window_size"": 56.0, ""estimation"": 0.44642857142857145}"
73,drift,ADWIN,34879,2026-09-08T09:15:49,baseline_v1,80.0,"{""rolling_error_500"": 0.864, ""cumulative_error"": 0.5088}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 34880, ""n_drifts"": 73, ""window_size"": 80.0, ""estimation"": 0.7125}"
74,drift,ADWIN,35039,2026-09-08T09:15:49,baseline_v1,64.0,"{""rolling_error_500"": 0.77, ""cumulative_error"": 0.5097}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 35040, ""n_drifts"": 74, ""window_size"": 64.0, ""estimation"": 0.28125}"
75,drift,ADWIN,35327,2026-09-08T09:15:49,baseline_v1,256.0,"{""rolling_error_500"": 0.348, ""cumulative_error"": 0.5059}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 35328, ""n_drifts"": 75, ""window_size"": 256.0, ""estimation"": 0.046875}"
76,drift,ADWIN,35999,2026-09-08T09:15:49,baseline_v1,64.0,"{""rolling_error_500"": 0.918, ""cumulative_error"": 0.5139}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 36000, ""n_drifts"": 76, ""window_size"": 64.0, ""estimation"": 0.40625}"
77,drift,ADWIN,62207,2026-09-08T09:15:57,baseline_v1,1120.0,"{""rolling_error_500"": 0.018, ""cumulative_error"": 0.2976}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 62208, ""n_drifts"": 77, ""window_size"": 1120.0, ""estimation"": 0.008035714285714285}"
78,drift,ADWIN,62367,2026-09-08T09:15:57,baseline_v1,64.0,"{""rolling_error_500"": 0.194, ""cumulative_error"": 0.2982}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 62368, ""n_drifts"": 78, ""window_size"": 64.0, ""estimation"": 0.875}"
79,drift,ADWIN,62463,2026-09-08T09:15:57,baseline_v1,64.0,"{""rolling_error_500"": 0.31, ""cumulative_error"": 0.2987}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 62464, ""n_drifts"": 79, ""window_size"": 64.0, ""estimation"": 0.40625}"
80,drift,ADWIN,62687,2026-09-08T09:15:57,baseline_v1,56.0,"{""rolling_error_500"": 0.376, ""cumulative_error"": 0.2982}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 62688, ""n_drifts"": 80, ""window_size"": 56.0, ""estimation"": 0.5714285714285714}"
81,drift,ADWIN,63135,2026-09-08T09:15:57,baseline_v1,64.0,"{""rolling_error_500"": 0.916, ""cumulative_error"": 0.3028}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 63136, ""n_drifts"": 81, ""window_size"": 64.0, ""estimation"": 0.671875}"
82,drift,ADWIN,64063,2026-09-08T09:15:57,baseline_v1,56.0,"{""rolling_error_500"": 0.064, ""cumulative_error"": 0.2989}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 64064, ""n_drifts"": 82, ""window_size"": 56.0, ""estimation"": 0.5535714285714286}"
83,drift,ADWIN,64671,2026-09-08T09:15:57,baseline_v1,256.0,"{""rolling_error_500"": 0.972, ""cumulative_error"": 0.3053}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 64672, ""n_drifts"": 83, ""window_size"": 256.0, ""estimation"": 0.9453125}"
84,drift,ADWIN,68575,2026-09-08T09:15:59,baseline_v1,192.0,"{""rolling_error_500"": 0.974, ""cumulative_error"": 0.3446}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 68576, ""n_drifts"": 84, ""window_size"": 192.0, ""estimation"": 0.9322916666666666}"
85,drift,ADWIN,70271,2026-09-08T09:15:59,baseline_v1,64.0,"{""rolling_error_500"": 0.054, ""cumulative_error"": 0.3367}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 70272, ""n_drifts"": 85, ""window_size"": 64.0, ""estimation"": 0.40625}"
86,drift,ADWIN,70431,2026-09-08T09:15:59,baseline_v1,80.0,"{""rolling_error_500"": 0.336, ""cumulative_error"": 0.3379}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 70432, ""n_drifts"": 86, ""window_size"": 80.0, ""estimation"": 0.775}"
87,drift,ADWIN,71295,2026-09-08T09:15:59,baseline_v1,64.0,"{""rolling_error_500"": 0.086, ""cumulative_error"": 0.3345}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 71296, ""n_drifts"": 87, ""window_size"": 64.0, ""estimation"": 0.65625}"
88,drift,ADWIN,73055,2026-09-08T09:16:00,baseline_v1,1248.0,"{""rolling_error_500"": 0.982, ""cumulative_error"": 0.3504}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 73056, ""n_drifts"": 88, ""window_size"": 1248.0, ""estimation"": 0.9927884615384616}"
89,drift,ADWIN,78399,2026-09-08T09:16:01,baseline_v1,80.0,"{""rolling_error_500"": 0.938, ""cumulative_error"": 0.3943}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 78400, ""n_drifts"": 89, ""window_size"": 80.0, ""estimation"": 0.6125}"
90,drift,ADWIN,79295,2026-09-08T09:16:02,baseline_v1,56.0,"{""rolling_error_500"": 0.944, ""cumulative_error"": 0.4008}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 79296, ""n_drifts"": 90, ""window_size"": 56.0, ""estimation"": 0.5}"
91,drift,ADWIN,80191,2026-09-08T09:16:02,baseline_v1,64.0,"{""rolling_error_500"": 0.07, ""cumulative_error"": 0.3968}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 80192, ""n_drifts"": 91, ""window_size"": 64.0, ""estimation"": 0.546875}"
92,drift,ADWIN,80639,2026-09-08T09:16:02,baseline_v1,64.0,"{""rolling_error_500"": 0.852, ""cumulative_error"": 0.3994}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 80640, ""n_drifts"": 92, ""window_size"": 64.0, ""estimation"": 0.34375}"
93,drift,ADWIN,82847,2026-09-08T09:16:03,baseline_v1,56.0,"{""rolling_error_500"": 0.058, ""cumulative_error"": 0.3891}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 82848, ""n_drifts"": 93, ""window_size"": 56.0, ""estimation"": 0.5178571428571429}"
